title,company,location,salary,salary_period,job_type,posted_date,summary,url,scraped_from_page
Full Stack Developer,Intone Networks,"Minneapolis, MN",Not mentioned,Not mentioned,Contract,Just posted,"Full Stack Developer Minneapolis, MN – Onsite (only locals…",https://www.indeed.com/viewjob?jk=bba9625d4cec6596,1
Software Engineer,Capillary Technologies,Minnesota,Not mentioned,Not mentioned,Full-time,30+ days ago,Build and maintain APIs that serve data to our various front ends and directly to our clients. Work with the Product Owner to estimate and scope software tasks.,https://www.indeed.com/viewjob?jk=f1fdb058d710cd6f,1
"Software Development Engineer, Onboard Service IT",Delta Airlines,"Minneapolis, MN","$69,400 - $187,400",year,Not mentioned,30+ days ago,"The Full Stack Software Development Engineer is responsible for development, operations and support, and enhancements of Delta’s Onboard Service IT systems.",https://www.indeed.com/viewjob?jk=7e7fabf4c4c3fac8,1
Build Engineer,Mimecast,"Minneapolis, MN","$120,000 - $180,000",year,Full-time,2 days ago,"Analyze logs and system metrics to identify root causes, drive continuous improvement, and improve developer velocity and system reliability.",https://www.indeed.com/viewjob?jk=09f4401f4ae10905,1
Front End Developer,Alula LLC,"Saint Paul, MN 55101",Not mentioned,Not mentioned,Full-time,14 days ago,"The Front-End Developer position requires an experienced, reliable and results-oriented person who enjoys making new things and helping to make old things work…",https://www.indeed.com/viewjob?jk=6254a75ae9fa5d8b,1
Junior Scientific Programmer/Data Scientist,University of Minnesota,"Minneapolis, MN",Not mentioned,Not mentioned,Full-time,30+ days ago,B.A./B.S. in Computer Science/Math/Statistics/Physics/Informatics or related technical discipline plus at least four years of relevant experience or a…,https://www.indeed.com/viewjob?jk=5bc2c528349869e1,1
Java Full stack Developer (Ex Cardinal)-5,Realign LLC,Minnesota,Not mentioned,Not mentioned,Contract,30+ days ago,"Java Full Stack Developer (Ex Cardinal) – Remote Contract. We are looking for a highly skilled Java Full Stack Developer with experience in Angular, Java, and…",https://www.indeed.com/viewjob?jk=7248744046a23bcd,1
"Data Analyst (Medicaid, ADF, SQL, Python)",Intone Networks,"Eden Prairie, MN",Not mentioned,Not mentioned,Contract,21 days ago,"Job Title: Data Analyst (Medicaid, ADF, SQL, Python) Need…",https://www.indeed.com/viewjob?jk=341613a8c65cb3f6,1
Software Engineer,Patterson,"Saint Paul, MN 55116","$83,400 - $115,000",year,Full-time,18 days ago,"Collaborates with clients, developers and other team members in the conceptualization and development of new or existing software applications.",https://www.indeed.com/viewjob?jk=d70839196d5e253a,1
"Software Engineer II (AWS, Node, React, Python, SQL, Databricks)","The Travelers Companies, Inc.","Saint Paul, MN 55101","$120,400 - $198,700",year,Not mentioned,22 days ago,The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country.,https://www.indeed.com/viewjob?jk=a44fe3a293d26adb,1
Product Engineer,Shared Success Center,Minnesota,"$138,000 - $163,000",year,Full-time,25 days ago,"Work across the full technology stack, leveraging Dart/Flutter, React, and Java frameworks, to build user-centric solutions.",https://www.indeed.com/viewjob?jk=8684f2bb5c9add39,1
Full Stack Engineering Developer,Honeywell,"Minneapolis, MN","$104,000 - $130,000",year,Full-time,30+ days ago,"You will collaborate with cross-functional teams, develop innovative solutions, and contribute to the overall success of our aerospace manufacturing operations…",https://www.indeed.com/viewjob?jk=13421e8097b8747e,1
AI Software Engineer - Developer Experience,U.S. Bank National Association,"Hopkins, MN 55343",Not mentioned,Not mentioned,Full-time,Just posted,U.S. Bank is seeking a Software Engineer who will contribute toward the success of our technology initiatives in our digital transformation journey.,https://www.indeed.com/viewjob?jk=8cc00b691b5128bf,1
Software Engineer 2 (Mainframe - Cobol),U.S. Bank National Association,"Hopkins, MN 55343","$98,175 - $115,500",year,Full-time,Just posted,"Ability to mentor junior developers and provide technical guidance across teams. This position will be responsible for the analysis, design, testing,…",https://www.indeed.com/viewjob?jk=8a2c2f545aa756f4,1
AI/Machine Learning Engineer,Mimecast,"Minneapolis, MN","$120,000 - $180,000",year,Full-time,1 day ago,"In this role, you will embrace the role of ""full-stack"" data scientist, which will often require you to acquire and clean raw data, engage internal and external…",https://www.indeed.com/viewjob?jk=041f036886a0bbd4,1
Artificial Intelligence (AI) Analyst,Factory Motor Parts Company,"Eagan, MN","$95,000 - $105,000",year,Full-time,30+ days ago,Collaborate with developers to troubleshoot and resolve AI-related issues. The AI Analyst will play a crucial role in harnessing the power of artificial…,https://www.indeed.com/viewjob?jk=c553ed191b245ed3,2
Software Validation Engineer,Katalyst Healthcares & Life Sciences,"Plymouth, MN 55441",Not mentioned,Not mentioned,Contract,30+ days ago,"Bachelor's degree in computer science, Information Technology, Electronics Engineering, or a related field. Good exposure to FDA regulations (21 CFR Part 11,…",https://www.indeed.com/viewjob?jk=55a6d3e7de4872b3,2
DevOps Engineer,EVOLVING SOLUTIONS INC,"Medina, MN 55340",Not mentioned,Not mentioned,Not mentioned,30+ days ago,"Design, develop, modify, test and evaluate various Kubernetes and Docker implementations that support system requirements of varying levels for technical and…",https://www.indeed.com/viewjob?jk=ad0526fe02e4489e,2
Google Certified Full Stack Software Developer,Da Vinci Software,"Saint Paul, MN 55124",Not mentioned,Not mentioned,Not mentioned,30+ days ago,Our client is seeking a developer to design and build back-end services that support our portfolio of data-centric clinical and analytic applications.,https://www.indeed.com/viewjob?jk=e3cd45892725621d,2
Développeur·euse Front-End Senior,Lasso Informatics Inc Lasso Informatique Inc,"Minneapolis, MN 55402",Not mentioned,Not mentioned,Not mentioned,30+ days ago,"Concevoir des interfaces intuitives et performantes pour ordinateurs, tablettes et appareils mobiles avec React, Redux et TypeScript.",https://www.indeed.com/viewjob?jk=53f64ac88d012252,2
"Senior Front-End Developer — UX-Centric, Fast-Moving, AI-Aware",Lasso Informatics Inc Lasso Informatique Inc,"Minneapolis, MN 55402",Not mentioned,Not mentioned,Full-time,30+ days ago,"At Lasso, we're rethinking how researchers and institutions manage, analyze, and share complex scientific data—especially in domains like neuroscience, child…",https://www.indeed.com/viewjob?jk=b17e44b68018dd6d,2
Embedded Software Engineer 2,"Veranex, Inc.","Minneapolis, MN","$93,700 - $133,980",year,Full-time,30+ days ago,"The Software Engineer 2 will develop technical aspects of software engineering across projects, focusing on software functionality and code quality and…",https://www.indeed.com/viewjob?jk=95e5cd88aae49109,2
Senior Security Consultant (Secure Code Review),NetSPI LLC,Minnesota,Not mentioned,Not mentioned,Full-time,30+ days ago,"Train and assist developers in writing secure software and remediating existing vulnerabilities. Specializing in 50+ pentest types, attack surface visibility,…",https://www.indeed.com/viewjob?jk=3d98c33aa74b7db4,2
